,player_name,value,follower,shots_total,shots_on,goals_total,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,age,height,weight,rating
10,A. Golovin,20.0,11440,1.7539,0.6715,0.1403,0.1203,35.1874,1.4732,6.6346,0.8218,0.0501,1.0222,7.8673,3.7883,2.1648,1.5133,1.8441,1.5634,0.2706,0.01,0.01,0.0,0.0,0.0,0.01,1.1024,1.0323,0.0702,0.3407,0.0702,24.0,180.0,69.0,4.666666666666667
11,A. Gomes,22.5,2209643,2.5424,0.565,0.0,0.0,49.7175,2.2599,111.8644,0.8475,0.0,0.2825,1.4124,0.8475,1.9774,1.6949,1.9774,1.6949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5424,0.8475,1.6949,0.565,3.6723,20.0,161.0,61.0,2.4545454545454546
12,A. Griezmann,96.0,30243196,2.6248,1.2357,0.525,0.2261,29.6075,1.5183,6.784,0.4684,0.0323,0.4119,6.5175,2.8913,1.3084,0.7188,1.0499,0.6057,0.1696,0.0,0.0081,0.0162,0.0,0.0485,0.0,1.1064,1.0418,0.0646,0.3634,0.0969,29.0,176.0,73.0,6.666666666666668
13,A. Grimaldo,28.0,453600,1.0071,0.3492,0.065,0.1868,41.5577,1.4862,5.2546,1.2426,0.1056,1.2913,6.4728,3.5653,2.1197,1.2994,0.8852,0.5198,0.1137,0.0,0.0,0.0,0.0,0.0,0.0,1.0152,1.0071,0.0081,0.0893,0.0081,25.0,171.0,67.0,5.090909090909091
14,A. Hakimi,54.0,3118407,1.0298,0.3961,0.1848,0.2377,54.9247,1.0166,9.8363,1.2807,0.0792,1.1091,6.5223,3.4724,3.4988,2.0861,1.4919,0.6866,0.1056,0.0,0.0,0.0132,0.0,0.0,0.0,1.1091,0.9638,0.1452,0.1584,0.4225,22.0,179.0,65.0,7.111111111111112
15,A. Harit,24.0,1019540,1.2031,0.5363,0.1594,0.1305,29.4825,1.7104,8.3345,0.4204,0.0145,0.6088,9.7695,5.1892,4.363,2.4641,3.5367,0.9277,0.1305,0.0,0.0,0.1015,0.0,0.0435,0.0,1.2755,1.0001,0.2754,0.4928,0.4638,23.0,180.0,67.0,6.7142857142857135
16,A. Isak,22.5,282319,2.5178,1.3848,0.7134,0.2098,9.5678,0.9022,7.6584,0.3147,0.042,0.1679,5.7491,2.371,2.287,1.0911,0.7344,0.8393,0.0839,0.0,0.0,0.0,0.0,0.0839,0.042,1.5736,0.9232,0.6504,0.4196,1.0491,21.0,190.0,70.0,4.0
17,A. Iwobi,25.5,2393,2.1299,0.9481,0.1429,0.2078,42.8831,2.1169,12.4156,1.3377,0.1169,0.5844,10.4156,4.5974,3.9610000000000003,2.4026,0.7143,0.6364,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.4416,1.013,0.4286,0.6753,0.7013,24.0,180.0,75.0,6.384615384615384
18,A. Kramaric,30.5,351898,3.3555,1.395,0.5278,0.1759,27.346999999999998,1.8977,8.9481,0.08800000000000001,0.0377,0.2765,5.5046,1.9480000000000002,1.9103,0.9677,0.9174,0.3393,0.1005,0.0,0.0,0.0,0.0,0.1131,0.0251,1.1813,0.9677,0.2136,0.2262,0.2639,29.0,177.0,73.0,6.777777777777778
19,A. Lacazette,48.0,3141100,2.7989,1.1864,0.5183,0.2073,20.6634,1.3476,8.6386,1.1633,0.0576,0.3686,12.9463,5.3098,2.2230000000000003,1.3591,1.6471,1.6932,0.1267,0.0,0.0115,0.023,0.0,0.0346,0.0,1.3015,1.0136,0.28800000000000003,0.4953,0.4262,29.0,175.0,73.0,5.75
20,A. Laporte,60.0,841807,0.5395,0.1349,0.0623,0.0415,69.0496,0.3424,11.0811,0.7574,0.1764,1.2658,7.3044,4.5653,0.2386,0.1556,0.6329,0.7989,0.1349,0.0,0.0,0.0104,0.0104,0.0,0.0,1.0479,1.0272,0.0208,0.0934,0.1349,26.0,191.0,86.0,5.466666666666668
21,A. Martial,17.5,5748682,2.6026,1.1386,0.488,0.2002,28.1907,1.6391,11.7868,0.488,0.0125,0.1251,11.3989,4.8048,4.1792,2.3148,1.5015,0.951,0.0626,0.0,0.0,0.025,0.0,0.0626,0.0125,1.464,1.026,0.4379,0.5756,0.5631,25.0,181.0,76.0,6.615384615384616
22,A. Milik,28.0,1042684,3.8998,1.7922,0.6472,0.083,17.5738,1.1118,12.1971,0.4481,0.083,0.1328,6.5715,2.3896,0.7302,0.3485,1.1616,1.4271,0.2323,0.0,0.0,0.0,0.0,0.0332,0.0,1.4603,0.9625,0.4978,0.3983,0.7634,26.0,186.0,80.0,5.8181818181818175
23,A. Mitrovic,32.0,100461,3.7755,1.4144,0.5123,0.0557,19.4676,0.9467,4.065,0.3898,0.1336,0.1671,12.2063,5.4906,1.3921,0.7239,1.5815,1.5815,0.2005,0.0,0.0,0.0223,0.0111,0.0334,0.0223,1.0358,1.0023,0.0334,0.078,0.0557,26.0,187.0,90.0,4.0
24,A. Morata,20.0,11106560,3.6364,1.6268,0.4904,0.0957,15.9689,1.0287,11.1722,0.6459,0.1077,0.299,11.9498,5.012,2.0694,1.1722,2.0813,2.1172,0.32299999999999995,0.0239,0.0,0.0,0.0,0.0,0.012,1.4234,1.0167,0.4067,0.5263,0.4904,28.0,190.0,84.0,6.0
25,A. Odriozola,36.0,815952,0.0,0.0,0.0,0.0,90.8257,2.7523,249.5413,1.8349,0.9174,0.9174,0.9174,0.9174,6.422000000000001,3.6697,0.9174,2.7523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7523,0.9174,1.8349,0.9174,11.9266,25.0,176.0,66.0,6.666666666666668
26,A. Oxlade-Chamberlain,36.0,4841111,1.9147,0.6382,0.2735,0.0456,26.0087,0.9802,22.6579,0.7978,0.1596,0.9802,7.8641,3.8067,3.3736,2.2567,0.4331,0.4331,0.0912,0.0,0.0,0.0,0.0,0.0,0.0,1.778,0.9802,0.7978,0.7294,1.1169,27.0,180.0,70.0,6.2
27,A. Pereira,28.0,123684,1.8296,0.6492,0.0787,0.1771,34.2121,1.6329,13.8894,1.0624,0.0393,0.7869,11.3516,4.2691,2.4789,1.2394,1.2198,1.8296,0.3148,0.0,0.0,0.0,0.0,0.0,0.0,1.7313,1.023,0.7082,0.6689,1.1017,24.0,178.0,71.0,4.428571428571429
28,A. PÃ©rez,16.0,189500,0.9042,0.2978,0.1383,0.0957,21.8168,0.5531,4.9037,1.1595,0.2234,0.9786,4.8186,2.4146,1.0105,0.617,0.8191,1.085,0.2234,0.0106,0.0106,0.0,0.0213,0.0106,0.0,1.1275,1.0531,0.0745,0.2447,0.2872,26.33333333333333,180.0,72.66666666666667,4.666666666666667
29,A. Rabiot,24.0,1741682,0.6609,0.1652,0.0826,0.1101,62.3434,0.7848,8.4813,0.8674,0.1377,1.1152,7.1733,4.1168,1.8587,1.3631,1.0189,1.5283,0.1377,0.0138,0.0,0.0,0.0,0.0,0.0,1.2667,1.0051,0.2616,0.3304,0.3993,25.0,188.0,71.0,4.9
30,A. Ramsey,25.5,4059287,2.4221,0.9929,0.331,0.2407,45.2535,1.3239,11.8851,1.4593,0.0903,0.9177,8.6355,4.0921,1.7301,1.1885,1.4593,1.4443,0.0451,0.0,0.0,0.0451,0.0,0.015,0.0,1.4743,1.008,0.4664,0.4513,0.6168,30.0,178.0,76.0,5.833333333333332
31,A. Rebic,28.0,3523,2.9923,1.5444,0.6757,0.0965,14.0927,1.9305,13.1274,1.0618,0.0965,0.1931,0.0,0.0,2.6062,1.5444,0.7722,1.834,0.2896,0.0,0.0,0.0,0.0,0.0,0.0,1.7375,0.8687,0.8687,0.5792,1.6409,27.0,185.0,78.0,7.0
32,A. Robertson,24.0,2696305,0.5216,0.1625,0.0257,0.2138,52.4457,1.2742,7.149,1.5906,0.1796,0.9321,6.0629,3.2239,1.0775,0.5986,0.2822,0.6157,0.1197,0.0,0.0,0.0,0.0086,0.0,0.0,1.0262,1.0091,0.0171,0.1112,0.0941,26.0,178.0,64.0,5.916666666666668
33,A. Romagnoli,64.0,793779,0.3598,0.1107,0.0461,0.0,51.1302,0.2122,6.6796,0.6458,0.5259,1.1625,4.3362,2.6755,0.083,0.0554,0.4152,0.9134,0.2214,0.0092,0.0092,0.0,0.0185,0.0092,0.0,1.0241,1.0056,0.0185,0.0646,0.0369,25.0,185.0,75.0,7.0
34,A. RÃ¼diger,36.0,1242810,0.6707,0.14800000000000002,0.0592,0.0099,62.103,0.1775,9.42,0.9371,0.3354,0.8779,7.4176,4.0047,0.2565,0.1874,0.4537,0.9568,0.1973,0.0,0.0,0.0,0.0,0.0,0.0,1.0357,0.9963,0.0395,0.0395,0.2367,27.0,190.0,85.0,5.5
35,A. Saint-Maximin,40.0,409157,1.5547,0.5262,0.1674,0.0718,12.7601,1.1839,6.8166,0.2153,0.0239,0.1913,10.0933,5.226,5.3576,3.3006,1.3872,0.3109,0.0478,0.0,0.0,0.0239,0.0,0.012,0.012,1.1481,1.0404,0.1076,0.586,0.1435,23.0,173.0,67.0,4.384615384615385
36,A. Sandro,20.0,1971364,0.6674,0.1793,0.0498,0.1096,50.6026,1.2451,7.5904,1.0559,0.1594,1.3248,9.4232,5.3591,2.1715,1.4344,1.534,1.8030000000000002,0.249,0.0,0.0,0.0,0.0398,0.0,0.0,1.0957,1.016,0.0797,0.1395,0.249,29.0,180.0,80.0,7.0
37,A. Silva,40.0,8752,1.0285,0.2729,0.021,0.1259,48.7615,0.8606,17.3384,1.9731,0.2099,1.2385,9.193999999999999,4.492,1.5533,1.0495,1.4064,1.5323,0.3778,0.0,0.0,0.0,0.0,0.0,0.0,1.3854,1.0285,0.3568,0.3778,0.5038,31.0,175.0,69.0,6.363636363636362
38,A. Telles,16.0,923192,0.8394,0.3228,0.1533,0.2583,25.6578,2.3325,4.4229,0.6618,0.1372,1.6142,5.0444,2.8329,0.8797,0.565,0.6295,1.0734,0.1372,0.0,0.0081,0.0,0.0081,0.0888,0.0242,1.025,0.9927,0.0323,0.0646,0.0323,28.0,181.0,67.0,5.3
39,A. TraorÃ©,32.0,1394908,0.8265,0.2605,0.0809,0.1168,21.0314,0.9523,8.2023,0.9972,0.1168,1.0601,9.9093,5.587999999999999,4.2584,3.2162,1.3386,1.0781,0.0988,0.0,0.009000000000000001,0.018000000000000002,0.0,0.0,0.009000000000000001,1.3566,0.9972,0.3594,0.2695,0.6828,26.91304347826087,154.82608695652175,65.91304347826087,4.0
40,A. Wan-Bissaka,25.5,1629273,0.2148,0.0126,0.0,0.0758,30.8606,0.6698,7.7215,3.766,0.4802,2.2116,9.9836,6.4704,2.4896,1.6808,0.4929,0.6066,0.139,0.0,0.0126,0.0,0.0253,0.0,0.0,1.011,0.9984,0.0126,0.0379,0.1769,23.0,183.0,72.0,5.7
41,A. Witsel,32.0,1451724,1.1155,0.2756,0.1312,0.0787,67.2178,0.5118,7.3885,1.0499,0.21,1.2598,4.6194,2.9003,1.0499,0.8793,1.4304,0.958,0.0787,0.0,0.0,0.0,0.0,0.0131,0.0,1.063,0.9843,0.0787,0.0656,0.0787,31.0,186.0,73.0,6.0
42,Allan_NAP,72.0,473238,0.863,0.2183,0.0624,0.0832,54.2836,0.9981,9.3679,1.9131,0.1975,0.9773,12.7469,6.5086,2.9008,1.9027,1.8195,1.57,0.1768,0.0,0.0,0.0,0.0,0.0,0.0,1.2581,1.0085,0.2495,0.3015,0.2807,29.0,173.0,73.0,6.909090909090909
43,AngeliÃ±o,32.0,165000,0.7653,0.3102,0.0517,0.2172,36.9183,2.1096,8.273,0.7963,0.1861,1.5098,6.5874,3.7952,2.0579,1.2823,1.0134,0.6101,0.0931,0.0,0.0,0.0,0.0,0.0,0.0,1.0238,1.0031,0.0207,0.062,0.1758,23.0,175.0,69.0,5.916666666666668
44,Anthony Lopes,17.5,136526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5714,0.0,3.5714,0.0,3.5714,0.0,0.0,0.0,0.0
45,Arthur,56.0,135434,0.4513,0.2375,0.095,0.1425,72.6841,0.9976,13.0641,0.8789,0.0713,0.5701,5.2257,3.3254,1.7815,1.4964,2.8979,0.7363,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,1.5677,1.0926,0.4751,0.8551,0.6651,24.0,171.0,73.0,7.0
46,B. Badiashile,18.0,14311,0.3974,0.1104,0.0221,0.0,48.3771,0.1104,9.7814,0.8832,0.3533,1.1702,2.5834,1.5898,0.1325,0.1104,0.4416,0.8832,0.0883,0.0,0.0,0.0221,0.0221,0.0,0.0,1.0157,1.0157,0.0,0.0883,0.3974,19.0,194.0,0.0,4.857142857142857
47,B. Chilwell,40.0,282138,0.4998,0.1874,0.0208,0.1041,36.6552,1.0934,5.5816,1.3954,0.1979,1.1455,11.4756,6.2168,2.1868,1.1975,1.1246,0.8331,0.0833,0.0104,0.0,0.0,0.0,0.0,0.0,1.0413,0.9893,0.0521,0.0521,0.1562,24.0,178.0,77.0,5.5555555555555545
48,B. Cristante,20.0,158027,1.7798,0.4689,0.1812,0.0746,41.361999999999995,1.2043,7.6735,0.8313,0.1385,0.9698,11.7127,5.414,1.8651,1.2469,0.5542,1.9823,0.2238,0.0,0.0107,0.0213,0.0,0.0,0.0107,1.2043,1.0231,0.1812,0.3197,0.2238,25.0,186.0,80.0,6.3
49,B. Davies_TOT,17.5,266366,0.6018,0.1204,0.0267,0.107,42.4044,1.1768,11.9283,1.6849,0.3611,1.0698,9.2672,5.0013,0.789,0.3878,0.7756,1.0698,0.1204,0.0,0.0,0.0,0.0267,0.0,0.0,1.2169,1.0029,0.214,0.107,0.6018,27.0,181.0,76.0,7.090909090909091
50,B. Fernandes,48.0,2061137,4.0486,1.3495,0.4049,0.4049,40.7557,2.5641,31.309,1.6194,0.0,0.9447,8.9069,3.3738,1.4845,1.0796,1.0796,0.6748,0.135,0.0,0.0,0.135,0.0,0.2699,0.0,1.2146,1.0796,0.135,0.6748,0.135,26.0,173.0,80.0,7.666666666666668
51,B. GuimarÃ£es,28.0,386192,0.2,0.2,0.0,0.0,44.8,1.0,52.2,2.6,0.2,1.4,0.0,0.0,1.6,1.4,1.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,23.0,182.0,74.0,7.333333333333332
52,B. Kamara_MSU,27.0,408100,0.5114,0.142,0.0426,0.0426,45.2273,0.3409,8.4233,1.6051,0.4261,1.5483,6.2926,3.679,0.767,0.4972,1.1364,1.0227,0.2557,0.0142,0.0284,0.0,0.0426,0.0,0.0,1.1079999999999999,1.0085,0.0994,0.0568,0.4403,21.0,184.0,68.0,4.363636363636363
54,B. Pavard,28.0,1705469,0.4999,0.1574,0.0463,0.0463,51.4442,0.4166,4.8232,0.611,0.3518,1.7219,5.7212,3.3142,0.5092,0.287,0.5832,0.8424,0.1203,0.0,0.0,0.0,0.0278,0.0093,0.0,0.9998,0.9998,0.0,0.0093,0.0185,24.0,186.0,76.0,5.25
55,B. Saka,20.0,374720,1.3339,0.7086,0.1251,0.4168,29.5957,1.4589,15.173,1.8758,0.1251,0.6669,8.045,4.0434,3.3347,2.2093,1.4589,1.2088,0.2084,0.0,0.0,0.0,0.0,0.0,0.0,1.3756,0.917,0.4585,0.2084,0.792,19.0,178.0,65.0,7.0
56,B. Silva,80.0,2076355,1.8257,0.7706,0.2752,0.2936,50.1468,2.1651,10.4679,1.1376,0.0642,0.7706,9.3119,4.3853,2.945,1.9633,0.8991,0.8716,0.1009,0.0,0.0,0.0275,0.0092,0.0092,0.0,1.3486,0.9633,0.3853,0.2385,0.4954,26.0,173.0,64.0,6.642857142857142
57,B. SoumarÃ©,24.5,728,0.2405,0.1202,0.02,0.0401,34.3287,0.7014,11.1222,0.9218,0.1002,0.9419,2.9058,1.6433,1.8838,1.483,0.8016,0.7615,0.1202,0.02,0.02,0.0,0.0,0.0,0.0,1.7435,0.9619,0.7816,0.3407,1.8036,21.0,134.28571428571428,50.0,3.4285714285714284
58,C. AleÃ±Ã¡,18.0,1498832,1.6705,0.4608,0.1152,0.1152,73.6751,1.7281,34.5622,0.9217,0.0,0.28800000000000003,9.447000000000001,4.2627,2.8802,2.1313,1.9585,1.5553,0.2304,0.0,0.0,0.0,0.0,0.0,0.0,2.0161,0.9217,1.0945,0.4608,2.7074,22.0,180.0,73.0,5.4444444444444455
59,C. Azpilicueta,24.0,896732,0.4732,0.1554,0.0565,0.1201,56.708999999999996,0.8263,7.0056,2.0127,0.4802,1.5537,7.8884,4.6116,0.4237,0.2119,0.4167,0.9251,0.0777,0.0,0.0,0.0141,0.0071,0.0212,0.0071,1.0169,0.9887,0.0282,0.0424,0.0706,31.0,178.0,76.0,6.538461538461537
60,C. Dagba,16.0,124609,0.3748,0.1249,0.0,0.1249,43.9817,1.1662,22.9071,1.0829,0.0833,0.9163,3.7068,1.7909,1.5827,0.9163,0.6664,1.4161,0.1249,0.0,0.0,0.0,0.0416,0.0,0.0,1.4994,0.9163,0.5831,0.2082,1.2078,22.0,170.0,62.0,5.25
61,C. Eriksen,68.0,2041938,2.6198,1.0339,0.2629,0.2891,47.7175,2.4796,9.8046,1.1478,0.0613,0.7798,6.7204,2.6461,1.2442,0.6484,0.5608,0.517,0.0789,0.0,0.0,0.0,0.0,0.0088,0.0,1.2004,0.9638,0.2366,0.1928,0.3154,28.0,182.0,76.0,6.3125
62,C. Hudson-Odoi,31.5,1152783,2.5182,0.9124,0.292,0.365,40.1095,2.4453,30.8759,0.9489,0.0,0.3285,9.854,5.365,5.6204,3.9051,1.2409,1.0584,0.0365,0.0,0.0,0.0,0.0,0.0,0.0,1.8978,0.8394,1.0584,0.365,1.5693,20.0,182.0,76.0,6.166666666666668
63,C. Immobile,40.0,1143091,3.8056,1.7599,0.7861,0.2501,21.4043,1.5633,6.3159,0.1608,0.0089,0.0804,5.7888,2.3495,2.0457,0.9737,1.2328,0.8219,0.1608,0.0,0.0089,0.0536,0.0,0.2233,0.0357,1.1256,1.0095,0.1161,0.268,0.134,30.0,185.0,78.0,6.7
64,C. KouamÃ©,17.5,59800,1.609,0.5448,0.2787,0.1014,11.7192,0.9122,3.4841,0.2914,0.0887,0.3421,8.5392,4.3583,1.5330000000000001,0.7348,1.6217,0.9502,0.1014,0.0,0.0,0.0507,0.0,0.0,0.0,1.2416,0.9882,0.2534,0.3547,0.2787,23.0,185.0,70.0,3.375
65,C. Lenglet,48.0,1835812,0.4853,0.1673,0.0753,0.0167,50.7195,0.1171,6.501,0.845,0.4183,1.1128,6.6265,3.8906,0.3932,0.3012,0.7446,1.2969,0.251,0.0167,0.0084,0.0,0.0167,0.0,0.0,1.0626,0.9956,0.0669,0.0418,0.2175,25.0,186.0,81.0,7.0
66,C. Nkunku,28.0,482442,2.0829,0.9998,0.2708,0.3124,31.785,2.2079,8.6232,0.7707,0.0833,0.6249,5.9779,2.8536,3.2285,2.0204,1.8538,1.3747,0.0625,0.0,0.0,0.0417,0.0,0.0,0.0,1.8746,0.9790000000000001,0.8956,0.5832,1.6871,23.0,178.0,68.0,3.5
67,C. Pulisic,54.0,2677415,2.6617,0.9837,0.2459,0.3038,39.2594,1.9673,15.8687,0.8245,0.1302,0.5786,21.4957,9.2869,9.1711,4.6868,2.1554,0.8245,0.0434,0.0,0.0,0.0579,0.0,0.0,0.0,1.3598,0.9981,0.3616,0.4629,0.4918,22.0,172.0,69.0,6.7333333333333325
68,C. Ronaldo,60.0,222106900,5.8749,2.35,0.8677,0.1808,26.9432,1.4461,6.598,0.1808,0.0633,0.244,6.3449,3.2267,2.5398,1.5727,1.3557,0.6688,0.0813,0.0,0.009000000000000001,0.0181,0.0,0.1898,0.0181,1.0484,1.0213,0.0271,0.0994,0.0362,35.0,187.0,83.0,6.1818181818181825
69,C. Soler,40.0,160657,1.5037,0.5439,0.0853,0.1386,28.1007,1.1091,7.5397,0.8318,0.16,0.4266,8.4035,3.8925,1.7169999999999999,0.8958,1.6743,1.5677,0.2346,0.0,0.0,0.0107,0.0107,0.0,0.0,1.2157,0.9918,0.22399999999999998,0.4159,0.3093,23.0,180.0,76.0,7.0
70,C. Stengs,18.0,61673,2.0643,0.6934,0.2364,0.2049,26.9461,1.7964,6.3662,0.6303,0.0473,0.3309,2.8837,1.1346,2.9939999999999998,1.8279,0.52,0.6934,0.0788,0.0,0.0,0.0158,0.0,0.0,0.0,1.1031,1.04,0.063,0.3467,0.0788,22.0,187.0,68.0,4.375
71,C. SÃ¶yÃ¼ncÃ¼,32.0,513643,0.4509,0.1253,0.0251,0.0251,59.0431,0.1754,10.5962,1.6784,0.6764,1.3778,8.0661,5.01,0.6263,0.501,0.5261,1.1273,0.2004,0.0,0.0,0.0,0.0752,0.0251,0.0251,1.0772,0.977,0.1002,0.0251,0.4259,24.0,185.0,82.0,5.666666666666668
72,C. Tolisso,25.5,1144213,2.3158,0.9362,0.3449,0.2956,67.8,1.5767,16.5804,0.5913,0.1725,0.6898,7.2678,3.6216,1.084,0.4681,1.8477,1.3304,0.1478,0.0,0.0,0.0246,0.0,0.0,0.0,1.6507,0.9855,0.6652,0.4435,1.1826,26.0,181.0,81.0,5.8
73,C. VinÃ­cius,16.0,129601,2.6372,1.0929,0.7365,0.1188,8.5056,0.8316,8.363,0.4514,0.0,0.2376,5.6783,2.0669999999999997,1.6393,0.9741,0.9741,1.6393,0.1901,0.0,0.0,0.0713,0.0,0.0475,0.0,1.5918,0.8791,0.7128,0.4989,0.7128,25.0,190.0,86.0,5.0
74,C. Wilson,24.0,292000,2.0466,0.826,0.4069,0.1356,10.7015,0.9863,6.0535,0.3575,0.111,0.1479,11.4906,3.6,1.5658,0.7151,1.1589,1.5904,0.1479,0.0,0.0,0.0493,0.0,0.0123,0.0123,1.1959,0.9986,0.1973,0.3329,0.2342,28.0,180.0,66.0,5.111111111111111
75,C. Ãœnder,24.0,979374,2.657,0.8919,0.3159,0.2044,21.5347,1.7094,12.0216,0.2973,0.0557,0.7804,6.6518,2.8986,3.1773,1.9324,1.375,0.353,0.0743,0.0,0.0,0.0,0.0186,0.0,0.0,1.6537,1.0777,0.5760000000000001,0.799,1.0219,23.0,173.0,66.0,6.4
76,Casemiro,64.0,12051174,1.2679,0.3675,0.1378,0.0643,53.2433,0.6615,8.609,1.8467,0.3308,1.9478,10.7957,6.0548,0.8728,0.6707,1.8284,2.0305,0.2664,0.0092,0.0,0.0092,0.0276,0.0,0.0,1.0842,1.0382,0.0459,0.1929,0.1838,28.0,185.0,84.0,7.272727272727272
77,D. Alaba,52.0,4945797,1.1436,0.3586,0.0582,0.1066,57.4239,1.0952,7.4724,0.6106,0.1648,0.9109999999999999,4.3225,2.3551,0.9983,0.5329999999999999,0.3295,0.4652,0.0678,0.0,0.0,0.0,0.0,0.0097,0.0,1.0952,0.9983,0.0969,0.1066,0.1357,28.0,180.0,78.0,6.4
78,D. Alli,64.0,7285080,1.9422,0.7155,0.2788,0.2695,32.4226,1.5984,8.949,1.2359,0.1673,0.6691,11.3837,4.9995,3.0666,1.3753,1.6727,0.9943,0.1673,0.0,0.0,0.0279,0.0,0.0279,0.0,1.1802,1.0222,0.158,0.4832,0.1859,24.0,188.0,76.0,6.461538461538463
79,D. Berardi,19.0,123675,3.6645,1.0968,0.2991,0.1371,25.6637,1.8572,3.7019,0.6357,0.0374,0.8226,9.6722,4.1381,2.605,1.3835,2.3557,1.8198,0.2368,0.0,0.0374,0.0,0.0,0.0374,0.0374,1.1592,1.047,0.1122,0.3615,0.1745,26.0,183.0,72.0,4.142857142857143
