,player_name,position,age,height,weight,rating,value,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
23,E. Hazard,4.0,29.0,175.0,74.0,6.416666666666668,80.0,26855201,0.431109,0.0710093,0.0514804,1.1058768,0.0,0.1435558,2.962936,1.8406331999999999,1.4866945,0.22229200000000002,0.0277865,0.0,0.0,100.8333
24,F. Bernardeschi,4.0,26.0,185.0,77.0,6.4,28.0,2294890,0.33706260000000005,0.0319157,0.0354778,0.6366653999999999,0.0,0.27763150000000003,1.5603278,0.629181,0.9438537000000001,0.6570223000000001,0.1387924,0.0,0.0092466,50.4667
25,F. Chiesa,4.0,23.0,175.0,70.0,6.142857142857142,48.0,345689,0.416367,0.0448037,0.0233058,0.5677559999999999,0.0046700000000000005,0.1636835,1.6968174,0.7532405999999999,0.7669074000000001,0.7388407,0.0794834,0.0,0.0,99.8667
26,G. Bale,4.0,31.0,185.0,81.0,6.5,32.0,43242138,0.5420898,0.0942972,0.0366771,0.5531652,0.034184400000000004,0.2733818,1.4291264,0.4923072,0.3963896,0.4647117,0.08882340000000001,0.006818200000000001,0.0,68.3333
27,G. Deulofeu,4.0,26.0,177.0,73.0,5.0,20.0,1974850,0.3705534,0.0562776,0.033115,0.6082398,0.0,0.37140510000000004,1.6420439999999998,0.9228491999999999,0.3627656,0.3800446,0.051837,0.0,0.0,54.0667
28,G. HiguaÃ­n,4.0,33.0,186.0,89.0,6.846153846153847,25.5,88500,0.47873699999999997,0.0785452,0.028568399999999997,0.4297104,0.0092933,0.10245980000000002,1.0970506,0.550368,0.4889957,0.335306,0.0558999,0.0,0.0046700000000000005,100.2778
29,G. Jesus,4.0,23.0,175.0,73.0,6.666666666666668,56.0,14298157,0.6929874,0.12941699999999998,0.0392905,0.5514642000000001,0.0180729,0.2291102,1.7741331999999999,0.6051402,0.6029437,0.5547026,0.066314,0.0,0.0,77.4556
30,G. Martins,4.0,25.0,173.0,72.0,4.428571428571429,20.0,216031,0.250992,0.0422977,0.0261877,0.476469,0.0105075,0.31008800000000003,1.6855076,0.8975988,0.7936198000000001,0.4730243,0.0578146,0.0052771,0.0052771,88.8556
31,H. Lozano,4.0,25.0,175.0,70.0,4.833333333333333,28.0,1508469,0.4774896,0.0934917,0.039129399999999995,0.8447544,0.0056507,0.2666103,1.9737724,0.757512,1.1570859,0.5104777,0.07939000000000002,0.0,0.0113481,82.3333
32,Heung-Min Son,4.0,28.0,183.0,78.0,7.25,64.0,4118424,0.545265,0.0954965,0.0495114,0.545265,0.0138232,0.1891817,1.483591,0.8328474,0.4337496,0.31377730000000004,0.0323164,0.0,0.0138232,101.2111
33,I. Sarr,4.0,22.0,185.0,76.0,2.9166666666666665,24.5,249665,0.25643520000000003,0.0520532,0.030358399999999997,0.4167072,0.0169521,0.2036587,2.3147648000000003,0.7968240000000001,1.2050468,0.4356176,0.062251100000000004,0.0,0.0,82.5444
34,I. Williams,4.0,26.0,186.0,78.0,6.857142857142858,40.0,291718,0.3239082,0.056080700000000004,0.0197974,0.36567720000000004,0.008592800000000001,0.1376716,1.5399856,0.6129648,0.6583299,0.48624039999999996,0.0473538,0.0,0.0,108.5333
35,J. Bamba,4.0,24.0,175.0,72.0,3.5,16.0,55040,0.316008,0.0424946,0.029552899999999997,0.5696082,0.024097200000000003,0.3663148,1.1951718,0.5110938,0.7856341,0.3470277,0.0289073,0.0,0.0,96.8889
36,J. Bowen,4.0,24.0,0.0,0.0,5.375,16.0,44053,0.4137966,0.0855262,0.0171124,0.46305,0.0162516,0.44631190000000004,1.7706978,0.5353236,0.9372689999999999,0.3692102,0.032456500000000006,0.0,0.0,115.1
37,J. Brandt,4.0,24.0,186.0,84.0,6.5555555555555545,40.0,767487,0.3079944,0.0542191,0.0542191,0.9121140000000001,0.014617100000000001,0.2926689,1.2539596000000002,0.7186158,0.317093,0.2341538,0.0097603,0.0,0.0,95.7333
38,J. FÃ©lix,4.0,21.0,181.0,70.0,5.5,81.0,3266789,0.3645432,0.0863138,0.03452909999999999,0.4155732,0.0,0.12609,1.0051054,0.2989224,0.9908339000000002,0.6485696000000001,0.0990974,0.0,0.0,51.8444
39,J. Kluivert,4.0,21.0,171.0,66.0,5.181818181818182,22.5,810572,0.33248880000000003,0.0499768,0.0349945,0.6649776000000001,0.0260586,0.2151936,1.5467406000000001,0.8655444,0.7954878000000001,0.7498152,0.0847605,0.0065379999999999995,0.0,71.6222
40,J. Mateta,4.0,23.0,190.0,84.0,4.0,17.5,217,0.47968200000000005,0.0939929,0.0052268,0.3308256,0.0204546,0.06813530000000001,2.5393396,0.44108820000000004,0.6062594,0.5994412000000001,0.034044300000000007,0.006818200000000001,0.006818200000000001,68.5556
41,J. Vardy,4.0,33.0,179.0,74.0,6.125,16.0,1198681,0.4519746,0.10791909999999999,0.0197795,0.3494232,0.0281601,0.0469335,1.330349,0.2051028,0.2580642,0.32377110000000003,0.0422168,0.0,0.0046700000000000005,99.5222
