,const,position,age,height,weight,rating,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
29,1.0,3.0,25.0,178.0,74.0,5.0,3075710,0.0626583,0.028997600000000002,0.0797032,0.2640387,0.0503979,0.22051120000000002,1.0978599,0.3311655,0.0630032,0.23626200000000003,0.0409614,0.0,0.0,73.9667
73,1.0,3.0,25.0,195.0,97.0,6.2,625272,0.06411470000000001,0.0259424,0.0129712,0.0721249,0.0761677,0.30751340000000005,0.9942338999999999,0.040084100000000004,0.078987,0.14669680000000002,0.0140965,0.0,0.0028193000000000003,82.5889
25,1.0,3.0,31.0,190.0,83.0,4.666666666666667,561000,0.10108740000000001,0.048508,0.0181704,0.0449167,0.0606266,0.498154,1.7309481,0.09734709999999999,0.17395780000000002,0.2635696,0.0579937,0.0052658,0.0026329,88.4
13,1.0,3.0,21.0,184.0,68.0,4.363636363636363,408100,0.047001999999999995,0.022833600000000003,0.022833600000000003,0.1128379,0.0992813,0.3607539,1.1147369999999999,0.1645732,0.26478120000000005,0.2382891,0.0595781,0.0033086000000000005,0.006617200000000001,70.4
39,1.0,2.0,23.0,180.0,74.0,4.454545454545454,7020902,0.0549117,0.016131,0.0349695,0.3184995,0.05094,0.35945999999999995,1.2969322,0.568323,0.34815,0.1755,0.02265,0.00282,0.0,105.9889
90,1.0,4.0,29.0,189.0,93.0,6.142857142857142,117844,0.3799656,0.0877637,0.0197437,0.4633524,0.0400686,0.0400686,1.17344,0.2085048,0.5896342,0.53238,0.0801372,0.0,0.0057441,81.5778
46,1.0,4.0,22.0,178.0,73.0,4.875,40807990,0.628236,0.148749,0.0512298,0.5270454,0.0,0.0776154,0.8197482,0.7678692,0.42688470000000006,0.202678,0.0517436,0.0,0.0129359,108.3
45,1.0,3.0,29.0,189.0,83.0,5.5,602431,0.0557073,0.05306400000000001,0.005306400000000001,0.039322800000000005,0.1361186,0.3345414,0.9360881999999999,0.039322800000000005,0.1338119,0.20072950000000003,0.029987100000000003,0.0,0.0,100.9889
46,1.0,2.0,31.0,186.0,79.0,6.4,232800,0.21825,0.0681435,0.043377,0.5693415,0.039119999999999995,0.30978,1.1865272,0.24670979999999998,0.25761,0.3,0.03261,0.0,0.0,92.0
16,1.0,2.0,23.0,180.0,76.0,7.0,160657,0.1582749,0.0243105,0.039500999999999994,0.3227481,0.048,0.12797999999999998,1.2105986,0.2606778,0.50232,0.47031,0.07038,0.0,0.0,93.7667
