,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
182,K. Diatta,4.0,21.0,173.0,68.0,2.0,16.0,197203,0.1077,0.0179,0.1974,0.0,0.0,2.5309,0.1795,6.2106,0.1795,0.0179,0.1256,0.3051,0.1795,0.5744,0.3769,0.0538,0.1974,0.1615,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,1.2385,1.0052,0.2333,0.3949,0.3051,55.7111
183,K. Dolberg,4.0,23.0,187.0,83.0,3.7857142857142856,81.0,390778,2.3458,1.1729,0.4751,0.0,0.0742,10.3332,0.7423,9.0416,0.2524,0.0297,0.3266,5.2111,2.4497,1.3956,0.6829,1.4847,1.1432,0.0742,0.0,0.0,0.0594,0.0,0.0297,0.0148,0.0,1.4698,0.9799,0.4899,0.5048,0.6384,67.3556
189,K. MbappÃ©,4.0,22.0,178.0,73.0,4.875,180.0,40807990,3.0286,1.662,0.831,0.0,0.2862,18.5411,1.3943,7.2207,0.1385,0.0,0.1662,4.2844,2.1237,3.5365,2.0314,0.9141,0.434,0.1108,0.0,0.0277,0.0462,0.0,0.0092,0.0,0.0,1.145,0.988,0.157,0.2308,0.2216,108.3
192,K. Volland,4.0,28.0,178.0,85.0,7.222222222222222,40.0,176399,2.4423,1.1303,0.4037,0.0,0.2422,19.3463,1.3725,6.7011,0.4844,0.0404,0.1917,8.0332,3.2496,1.9175,1.0092,1.534,1.4734,0.1413,0.0,0.0,0.0404,0.0101,0.0,0.0,0.0,1.0899,1.0092,0.0807,0.2422,0.1312,99.0889
198,L. Bailey,4.0,23.0,178.0,79.0,6.888888888888889,29.5,516622,2.7273,1.0501,0.35,0.0,0.1604,26.3247,2.2168,9.3777,0.4084,0.0,0.6709,9.3923,4.3024,4.1565,2.246,1.3709,1.0792,0.1167,0.0,0.0292,0.0,0.0,0.0,0.0,0.0,1.4438,0.9626,0.4813,0.5396,0.5834,68.5667
205,L. Insigne,4.0,29.0,163.0,59.0,6.666666666666667,56.0,1333439,4.5303,1.6551,0.3499,0.0,0.2364,48.9817,2.459,8.5593,0.2175,0.0,0.5864,5.1734,2.3266,3.0832,1.7497,0.8323,0.3026,0.1419,0.0,0.0095,0.0,0.0,0.0757,0.0095,0.0,1.1633,1.0498,0.1135,0.4067,0.1608,105.7333
207,L. MartÃ­nez_inter,4.0,23.0,179.0,72.0,7.0,64.0,163301,4.2249,1.6839,0.5713,0.0,0.1052,10.3592,1.0374,8.2994,0.4511,0.0601,0.3759,8.9759,4.0294,2.8567,1.3682,2.8567,2.1049,0.3007,0.0,0.015,0.0902,0.0,0.0451,0.0451,0.0,1.3081,0.9923,0.3157,0.3458,0.4661,66.5111
208,L. Messi,4.0,33.0,170.0,72.0,8.222222222222221,112.0,154554857,5.4892,2.707,0.9859,0.0,0.4345,47.8992,2.7404,6.0908,0.2841,0.0,0.2089,11.3461,6.1075,7.6365,5.0882,2.2224,0.5681,0.1253,0.0,0.0,0.0084,0.0,0.0752,0.0334,0.0,1.0945,0.9692,0.1253,0.0251,0.1253,119.6889
210,L. MorÃ³n,4.0,27.0,188.0,66.0,7.0,16.0,83982,2.532,1.0522,0.4275,0.0,0.0986,10.4403,0.707,7.4151,0.5097,0.148,0.2795,8.9934,3.5513,1.7757,0.7892,2.1703,1.4304,0.148,0.0,0.0164,0.0329,0.0,0.0,0.0,0.0,1.4633,0.97,0.4932,0.5261,0.6083,60.8222
227,M. Asensio,4.0,24.0,182.0,76.0,5.0,32.0,12261348,2.7529,1.1647,0.2647,0.0,0.2118,46.7117,2.2412,12.1765,0.3,0.0353,0.6,7.9588,4.1294,2.7176,1.8529,1.2529,0.6706,0.1059,0.0,0.0,0.0529,0.0,0.0176,0.0,0.0,1.6412,0.9,0.7412,0.4059,0.8471,56.6667
230,M. DembÃ©lÃ©_Lyn,4.0,24.0,183.0,73.0,5.375,40.0,283230,2.6785,1.1563,0.6147,0.0,0.1317,11.3579,1.0685,5.8692,0.2635,0.1025,0.1317,3.9226,1.6539,1.932,1.0246,0.7026,1.5954,0.1025,0.0,0.0,0.0732,0.0,0.0878,0.0585,0.0,1.288,0.9806,0.3074,0.322,0.3513,68.3222
231,M. Depay,4.0,26.0,176.0,78.0,3.6666666666666665,44.0,9807267,3.0889,1.2944,0.4903,0.0,0.3138,27.4472,2.6182,4.55,0.1667,0.0294,0.255,7.6193,2.9614,3.2066,1.7651,1.3042,0.912,0.0883,0.0,0.0,0.0196,0.0,0.049,0.0196,0.0,1.1963,1.0002,0.1961,0.402,0.2648,101.9778
235,M. GÃ³mez,4.0,24.0,186.0,91.0,6.857142857142857,32.0,137169,2.2691,0.9463,0.4302,0.0,0.129,13.1844,0.8711,5.1189,0.1398,0.0323,0.1183,9.9474,4.635,0.8496,0.3871,2.3981,1.8389,0.2473,0.0108,0.0,0.0,0.0,0.0108,0.0108,0.0,1.1399,1.0001,0.1398,0.2796,0.1613,92.9889
238,M. Icardi,4.0,27.0,181.0,75.0,7.111111111111111,60.0,6510041,2.9137,1.4066,0.7368,0.0,0.1005,10.65,1.1052,7.4795,0.1898,0.0335,0.1228,4.778,2.1099,0.614,0.2903,0.7145,0.6363,0.0335,0.0,0.0,0.067,0.0,0.1675,0.0223,0.0,1.161,1.0047,0.1563,0.3684,0.2456,89.5778
242,M. Marega,4.0,29.0,183.0,83.0,4.7,19.0,428775,2.5667,1.201,0.4746,0.0,0.2131,10.0344,0.9201,4.4554,0.3196,0.0775,0.3293,7.4483,3.2932,1.879,0.9395,1.5013,1.2204,0.1065,0.0,0.0,0.0097,0.0,0.0291,0.0097,0.0,1.0945,1.017,0.0775,0.2615,0.1259,103.2444
245,M. Oyarzabal,4.0,23.0,181.0,78.0,7.0,48.0,67986,2.0782,0.8636,0.3606,0.0,0.1423,21.8642,1.4045,4.9346,0.5978,0.0569,0.503,8.7685,3.5681,2.9323,1.6322,1.3286,0.9679,0.1044,0.0,0.0,0.019,0.0,0.0759,0.0,0.0,1.1103,1.0344,0.0759,0.3511,0.0949,105.3778
247,M. Politano,4.0,27.0,171.0,67.0,6.166666666666667,22.5,422865,3.0076,0.8921,0.2167,0.0,0.1274,26.0238,2.1793,10.2082,0.1912,0.0127,0.4333,9.3543,4.1419,3.6831,1.9881,1.746,0.5607,0.102,0.0,0.0127,0.0127,0.0,0.0,0.0255,0.0,1.3891,1.0195,0.3696,0.6882,0.5098,78.4667
248,M. Rashford,4.0,23.0,180.0,70.0,6.615384615384615,64.0,8377022,3.375,1.4243,0.4954,0.0,0.2064,20.57,1.2282,9.2683,0.6399,0.0103,0.258,10.93,4.6342,3.9117,1.9197,1.445,0.9495,0.1548,0.0,0.0103,0.0722,0.0103,0.0722,0.0206,0.0,1.3933,0.9702,0.4232,0.5161,0.4851,96.8889
250,M. Reus,4.0,31.0,180.0,71.0,5.090909090909091,32.0,8519824,2.6329,1.2881,0.5662,0.0,0.2265,30.6606,1.4863,9.1727,0.9484,0.0849,0.5237,6.8795,3.0151,2.364,1.0758,1.2457,1.2174,0.0991,0.0,0.0142,0.0283,0.0142,0.0708,0.0283,0.0,1.1041,1.0475,0.0566,0.3822,0.0566,70.6444
253,M. Salah,4.0,28.0,175.0,71.0,6.153846153846154,120.0,38661405,4.0542,1.763,0.7068,0.0,0.2485,22.0573,1.864,6.2444,0.4039,0.0078,0.2019,9.9568,3.6892,3.6426,2.1902,0.8543,0.6912,0.0311,0.0,0.0,0.0699,0.0,0.0699,0.0078,0.0,1.0951,1.033,0.0621,0.4116,0.0777,128.7556
257,M. Thuram,4.0,23.0,189.0,79.0,3.888888888888889,22.5,377,2.0781,1.0218,0.3559,0.0,0.1148,16.6246,1.0563,3.961,0.7003,0.023,0.333,11.6877,5.8324,3.9265,2.6177,1.7336,1.7336,0.1148,0.0,0.023,0.0689,0.0115,0.0459,0.0115,0.0,1.2514,1.0333,0.2181,0.4248,0.2526,87.1
264,Malcom,4.0,23.0,172.0,65.0,3.272727272727273,30.5,2701605,1.9996,0.8513,0.3168,0.0,0.1782,32.4087,2.5143,7.9586,0.297,0.0,0.4158,10.9679,5.6027,3.524,2.3163,2.4945,0.7523,0.0594,0.0,0.0,0.0198,0.0,0.0396,0.0198,0.0,1.3264,0.9701,0.3564,0.4355,0.7721,50.5111
271,N. Fekir,4.0,27.0,173.0,72.0,4.5,32.0,1052652,3.2489,1.4909,0.4673,0.0,0.2225,30.3746,1.8358,5.6187,0.8122,0.0334,0.3338,11.5824,6.0415,4.0499,2.8149,3.3601,2.1474,0.267,0.0111,0.0,0.0668,0.0,0.1001,0.0223,0.0,1.146,1.0459,0.1001,0.3227,0.1669,89.8778
274,N. Maupay,4.0,24.0,173.0,69.0,3.7777777777777777,17.5,30993,3.2919,1.3716,0.4979,0.0,0.1524,15.9923,1.1786,4.1251,0.3759,0.0102,0.2235,10.9833,3.6577,2.0422,0.8433,1.585,1.4529,0.2235,0.0,0.0,0.0203,0.0,0.061,0.0,0.0,1.2599,1.0059,0.254,0.3048,0.2946,98.4222
282,Neymar,4.0,28.0,175.0,68.0,5.416666666666667,128.0,139025980,3.683,1.8285,0.8948,0.0,0.4409,44.0663,2.866,8.1052,0.428,0.0389,0.2594,13.513,7.5735,8.6369,5.3559,3.8905,0.8689,0.2723,0.0259,0.0,0.0648,0.0,0.1816,0.013,0.0,1.0245,0.9986,0.0259,0.1297,0.0389,77.1111
284,P. Aubameyang,4.0,31.0,187.0,80.0,5.0,56.0,9446820,3.2074,1.4378,0.7465,0.0,0.1382,16.7926,1.023,7.2903,0.5346,0.0276,0.2949,7.9447,2.8111,1.53,0.7097,0.5991,0.6083,0.0461,0.0092,0.0092,0.0184,0.0,0.0922,0.0276,0.0,1.106,0.9954,0.1106,0.1659,0.1106,108.5
286,P. Dybala,4.0,27.0,177.0,75.0,7.333333333333333,72.0,38548092,3.8451,1.4279,0.5172,0.0,0.1911,44.1849,2.2711,8.7583,0.3373,0.0112,0.461,8.9157,4.8008,4.0362,2.6196,2.8332,0.7308,0.0899,0.0112,0.0,0.0675,0.0,0.0675,0.0225,0.0,1.3379,1.0119,0.326,0.416,0.416,88.9444
294,R. Firmino,4.0,29.0,181.0,76.0,6.076923076923077,72.0,13194716,2.773,1.198,0.4356,0.0,0.2848,29.7319,1.7174,6.9785,1.2734,0.0586,0.3602,12.9852,4.6998,2.5803,1.7342,0.5697,1.265,0.0251,0.0,0.0,0.0168,0.0,0.0168,0.0168,0.0,1.1896,1.0221,0.1676,0.5781,0.1759,119.3667
300,R. JimÃ©nez,4.0,29.0,187.0,76.0,5.8,40.0,2079626,3.4558,1.2518,0.4815,0.0,0.2675,21.0021,1.5086,5.6812,0.6312,0.0535,0.6419,12.0792,5.1462,2.2147,1.2411,1.1662,1.4872,0.1391,0.0,0.0,0.0428,0.0,0.0856,0.0,0.0,1.3695,0.9522,0.4173,0.4387,0.4494,93.4667
301,R. Lewandowski,4.0,32.0,184.0,80.0,6.8,56.0,17410571,4.4525,2.0108,0.9655,0.0,0.1436,17.0919,1.157,5.4101,0.2793,0.008,0.2314,8.3225,3.6306,2.2821,1.2528,1.4602,1.0932,0.1277,0.0,0.0,0.0479,0.0,0.1596,0.016,0.0,1.0613,0.9974,0.0638,0.1197,0.1117,125.3222
302,R. Lukaku,4.0,27.0,190.0,94.0,5.6875,68.0,6017371,2.6585,1.3736,0.6115,0.0,0.1506,14.9143,1.1609,7.8161,0.2747,0.062,0.0709,8.6757,3.846,1.6926,1.0102,0.4165,0.9393,0.0975,0.0,0.0,0.0089,0.0,0.0532,0.0089,0.0,1.1786,0.9925,0.1861,0.2038,0.2038,112.8444
303,R. Mahrez,4.0,29.0,179.0,67.0,7.454545454545454,48.0,5333408,2.8895,1.3085,0.3707,0.0,0.3925,39.8425,2.1917,9.9225,1.0904,0.0327,0.5997,10.9038,4.983,3.8599,2.1808,1.4611,0.7087,0.0436,0.0,0.0,0.0436,0.0,0.0,0.0218,0.0,1.3194,0.9922,0.3271,0.3925,0.6106,91.7111
305,R. Orsolini,4.0,23.0,183.0,73.0,6.111111111111111,20.0,102123,2.6526,0.9783,0.3386,0.0,0.2069,19.5276,1.4674,10.9302,0.903,0.0564,0.5832,7.8073,3.6873,3.2922,1.2981,2.1635,1.2981,0.0941,0.0,0.0,0.0753,0.0188,0.0,0.0,0.0,1.5615,0.9594,0.602,0.4139,1.0911,53.1556
309,R. Sterling,4.0,26.0,170.0,69.0,6.6923076923076925,128.0,7015127,2.7386,1.1621,0.5607,0.0,0.26,31.953,1.9747,8.0126,0.7233,0.0406,0.5282,11.2713,4.7783,4.3314,2.4217,1.5278,1.2271,0.1463,0.0081,0.0,0.1056,0.0081,0.0163,0.0163,0.0,1.1377,0.9833,0.1544,0.2844,0.2682,123.0556
311,Raphinha,4.0,24.0,176.0,58.0,5.909090909090909,16.0,106000,2.2203,0.8298,0.3364,0.0,0.1121,17.6389,1.9063,7.3449,0.7962,0.0224,1.2783,7.9056,3.7117,3.1959,1.4578,1.8054,1.1326,0.2467,0.0,0.0,0.0336,0.0,0.0336,0.0112,0.0,1.1774,1.0092,0.1682,0.2803,0.2243,89.1778
312,Richarlison,4.0,23.0,179.0,71.0,6.888888888888889,52.0,2605823,2.8412,0.8565,0.3238,0.0,0.094,16.6713,0.9088,6.3614,1.0132,0.0627,0.5745,13.3705,5.954,3.0084,1.5042,2.4965,1.0446,0.1567,0.0,0.0104,0.0313,0.0,0.0,0.0104,0.0,1.1595,1.0341,0.1253,0.3552,0.1253,95.7333
314,Rodrigo_Val,4.0,29.0,182.0,77.0,7.111111111111111,40.0,361722,2.6706,1.0991,0.4006,0.0,0.226,22.6078,1.325,6.9231,0.2362,0.0514,0.3801,8.6692,3.9238,2.5063,1.4072,1.4278,0.9553,0.1438,0.0103,0.0103,0.0514,0.0,0.0205,0.0103,0.0,1.2634,1.0272,0.2362,0.5136,0.2568,97.3556
315,S. Aguero,4.0,32.0,173.0,70.0,7.25,52.0,13499337,4.4564,1.8305,0.9044,0.0,0.2179,22.2712,1.2748,10.7107,0.4576,0.0327,0.2724,8.0847,3.4649,3.1162,1.9068,0.8499,0.5884,0.0872,0.0,0.0,0.0109,0.0,0.1525,0.0327,0.0,1.2421,1.046,0.1961,0.632,0.3814,91.7778
317,S. Bergwijn,4.0,23.0,178.0,78.0,5.071428571428571,28.0,505348,2.4297,1.0099,0.31,0.0,0.31,25.0372,2.0298,8.4791,0.39,0.03,0.28,7.6791,3.5596,3.9896,2.4397,1.2899,0.7099,0.18,0.0,0.0,0.04,0.0,0.02,0.0,0.0,1.1499,1.0799,0.07,0.5399,0.08,100.0111
321,S. Haller,4.0,26.0,190.0,82.0,5.181818181818182,36.0,123480,2.1128,0.9513,0.4425,0.0,0.2102,19.4137,1.2611,5.8075,0.4646,0.0774,0.3982,21.25,10.3761,1.9027,0.9403,1.8252,1.781,0.0996,0.0,0.0,0.0111,0.0,0.0774,0.0,0.0,1.1726,0.9845,0.1881,0.2655,0.2655,90.4
323,S. ManÃ©,4.0,28.0,175.0,69.0,5.538461538461538,120.0,7300802,2.6085,1.1948,0.5385,0.0,0.1599,27.2036,1.5567,6.4959,1.0939,0.0505,0.446,12.916,5.9742,3.534,2.1288,1.8091,1.3042,0.1178,0.0,0.0084,0.0505,0.0,0.0,0.0084,0.0,1.0939,1.0518,0.0421,0.4291,0.0926,118.8444
334,T. Abraham,4.0,23.0,190.0,80.0,5.6,40.0,1691131,2.9817,1.3973,0.5391,0.0,0.121,12.2017,0.8582,6.1944,0.3191,0.154,0.187,12.5208,5.2922,1.7274,0.9022,1.3863,0.8912,0.055,0.0,0.0,0.033,0.0,0.077,0.011,0.0,1.2433,0.9902,0.2531,0.4181,0.2861,90.8889
343,T. Hazard,4.0,27.0,174.0,69.0,6.375,32.0,702956,2.2678,0.8273,0.3212,0.0,0.3017,28.7218,2.2678,5.3628,0.7105,0.0195,0.7202,9.5382,4.2143,3.3481,1.7714,1.5865,0.8954,0.0584,0.0,0.0,0.0097,0.0097,0.0876,0.0292,0.0,1.1193,1.0317,0.0876,0.3601,0.0973,102.7444
351,T. Werner,4.0,24.0,180.0,75.0,6.636363636363637,64.0,823676,3.554,1.63,0.6502,0.0,0.2405,19.2933,1.2114,6.057,0.3563,0.0178,0.2049,5.5582,2.12,2.6811,1.2292,1.0065,0.7304,0.0624,0.0,0.0,0.0267,0.0,0.0713,0.0356,0.0,1.1312,1.0243,0.1069,0.4008,0.1603,112.2667
356,V. Osimhen,4.0,22.0,185.0,78.0,4.25,27.0,172591,1.8529,0.7114,0.5129,0.0,0.0827,5.6912,0.5294,5.8732,0.1324,0.0331,0.2482,1.5221,0.546,0.9596,0.3143,0.8603,1.2904,0.0993,0.0,0.0,0.0496,0.0,0.0331,0.0165,0.0,1.2904,0.9761,0.3143,0.1654,0.5294,60.4444
