,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
223,M. Aarons,3.0,20.0,178.0,69.0,4.666666666666667,20.0,66558,0.5338,0.1686,0.0421,0.0,0.0983,32.196,0.7726,4.0315,1.0957,0.5057,0.9693,8.5688,4.5091,2.4302,1.2923,1.3766,0.7305,0.2107,0.0,0.0,0.0281,0.0,0.0,0.0,0.0,1.0254,0.9973,0.0281,0.014,0.0983,71.1889
224,M. Akanji,3.0,25.0,187.0,91.0,5.181818181818182,20.0,231334,0.2481,0.0668,0.0286,0.0,0.0191,50.9173,0.1622,6.6808,0.8017,0.2672,0.9544,3.5122,2.1283,0.315,0.2291,0.5822,0.4486,0.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0498,0.9926,0.0573,0.0286,0.1432,104.7778
225,M. Alonso,3.0,30.0,188.0,84.0,6.615384615384615,20.0,1526522,1.8004,0.5361,0.1618,0.0,0.1113,43.3007,1.062,9.8415,1.6891,0.0809,1.3857,9.5887,5.2293,1.0924,0.5866,1.0216,1.0216,0.1719,0.0,0.0101,0.0303,0.0202,0.0,0.0,0.0,1.0418,1.0216,0.0202,0.1214,0.2023,98.8667
228,M. Bartra,3.0,29.0,184.0,70.0,7.0,17.5,6684354,0.6861,0.1656,0.0473,0.0,0.0118,55.7887,0.2484,6.0095,1.5733,0.5323,1.7508,7.8076,4.8856,0.7808,0.5797,1.1593,1.0174,0.2011,0.0,0.0,0.0,0.0237,0.0,0.0,0.0,1.041,1.0055,0.0355,0.0828,0.1301,84.5333
232,M. Diakhaby,3.0,24.0,189.0,78.0,5.818181818181818,17.5,72468,0.3937,0.1514,0.0757,0.0,0.0,37.5656,0.106,10.9775,0.6057,0.7722,1.181,4.9058,2.9526,0.4088,0.3634,0.7873,1.0296,0.318,0.0151,0.0151,0.0,0.0303,0.0,0.0,0.0,1.2567,0.969,0.2877,0.0606,1.0448,66.0444
233,M. Fernandes,3.0,30.0,188.0,81.0,5.444444444444445,24.0,1810,0.6769,0.1692,0.0398,0.0,0.1493,32.8105,1.3837,5.3656,0.9955,0.0995,1.3638,7.7348,4.6289,1.2244,0.657,0.9955,0.8262,0.0995,0.01,0.0,0.0199,0.0,0.0,0.0,0.0,1.0253,1.0253,0.0,0.0398,0.0199,100.4556
236,M. Halstenberg,3.0,29.0,186.0,82.0,6.4,17.5,43758,1.0933,0.3762,0.1058,0.0,0.1528,36.8182,1.5987,8.029,1.2461,0.1176,1.6575,7.6646,4.7962,1.3401,0.8817,0.7288,0.8699,0.1763,0.0118,0.0,0.0118,0.0118,0.047,0.0,0.0,1.0697,1.011,0.0588,0.1176,0.1411,85.0667
237,M. Hummels,3.0,32.0,191.0,92.0,6.4,24.0,3051209,1.0202,0.234,0.0562,0.0,0.0655,64.6361,0.3463,7.2629,1.2354,0.3182,1.9468,6.7013,4.4083,0.5803,0.4586,0.2901,0.7862,0.1591,0.0094,0.0,0.0,0.0281,0.0094,0.0,0.0,1.0576,1.0295,0.0281,0.0936,0.1872,106.8444
239,M. Keane,3.0,27.0,191.0,82.0,5.0,20.0,122044,0.7173,0.1606,0.0321,0.0,0.0321,35.7281,0.182,6.9058,1.0814,0.6745,1.3704,10.6103,6.1456,0.1713,0.1499,0.2677,0.6424,0.0535,0.0,0.0,0.0,0.0107,0.0,0.0,0.0,1.0493,0.9957,0.0535,0.0321,0.2463,93.4
255,M. Sarr_NICE,3.0,21.0,180.0,70.0,3.727272727272727,16.0,36511,0.2782,0.0397,0.0265,0.0,0.0132,54.5113,0.212,6.8354,0.6888,0.2252,1.8678,5.5902,3.2853,0.3312,0.2517,0.7683,0.7551,0.0927,0.0,0.0,0.0,0.0397,0.0,0.0,0.0,1.1525,0.9935,0.159,0.1192,0.4769,75.4889
